trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",25,0,-173.32571503928844,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.05, 'e': 0.951229424500714}",30,0,-186.2932581752778,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.9048374180359595}",30,0,-220.90025352477358,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 5}",0
4,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-48.70329074162195,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.8187307530779818}",30,0,-193.05019023055948,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.05, 'e': 0.7788007830714049}",20,0,-33.728697549166995,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.7408182206817179}",30,0,-98.53198074051598,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.7046880897187134}",20,0,-79.94693113629758,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.05, 'e': 0.6703200460356393}",25,0,-140.48874003304408,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.6376281516217733}",20,8,-22.967687051067344,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.05, 'e': 0.6065306597126334}",30,0,-48.62002906837629,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.5769498103804866}",30,0,-156.7311203936773,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.05, 'e': 0.5488116360940264}",20,0,-46.2764629968404,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.522045776761016}",20,8,-11.225803609322979,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.49658530379140947}",20,12,3.786940348282206,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.05, 'e': 0.4723665527410147}",20,0,-78.56679707821716,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.05, 'e': 0.44932896411722156}",25,0,-100.76458556532673,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.05, 'e': 0.42741493194872665}",25,0,-32.9655570614182,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.4065696597405991}",25,0,10.138349190049329,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.05, 'e': 0.3867410234545012}",25,14,-27.950642459428778,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.05, 'e': 0.36787944117144233}",20,0,-15.78088014056802,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.3499377491111553}",25,10,-50.39313805398979,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.05, 'e': 0.33287108369807955}",20,8,-17.366193755801238,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.05, 'e': 0.31663676937905316}",20,0,-74.17085149753768,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.05, 'e': 0.301194211912202}",20,0,-5.11650354757164,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.05, 'e': 0.2865047968601901}",30,0,-43.646181775623056,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.05, 'e': 0.2725317930340126}",25,7,-22.391035903358237,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
28,False,"{'a': 0.05, 'e': 0.2592402606458915}",20,0,-7.260348381145501,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.05, 'e': 0.24659696394160643}",20,0,-0.8884313299253285,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
30,False,"{'a': 0.05, 'e': 0.23457028809379762}",20,6,-39.725295863238756,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.05, 'e': 0.22313016014842982}",20,13,-13.482889762813166,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.05, 'e': 0.21224797382674304}",25,9,-36.22220061077868,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
33,False,"{'a': 0.05, 'e': 0.20189651799465538}",25,0,20.26045439340018,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.05, 'e': 0.19204990862075408}",30,12,18.991652296715152,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.05, 'e': 0.1826835240527346}",30,0,34.950812914427225,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.17377394345044514}",20,10,-39.17658041901794,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.05, 'e': 0.16529888822158653}",25,7,-19.123223759426548,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.05, 'e': 0.1572371663136276}",25,0,-71.88557957404105,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
39,False,"{'a': 0.05, 'e': 0.14956861922263504}",20,6,-17.139484056304788,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
