trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.02, 'e': 0.697676326071031}",25,0,-3.24366549539139,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.02, 'e': 0.6838614092123558}",25,1,-49.09276457370488,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 0}",1
21,False,"{'a': 0.02, 'e': 0.6703200460356393}",20,0,-228.52287099832367,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
22,False,"{'a': 0.02, 'e': 0.6570468198150567}",20,5,-10.210093326087964,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.02, 'e': 0.6440364210831414}",25,12,-70.93368430441544,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
24,False,"{'a': 0.02, 'e': 0.631283645506926}",20,0,-18.905023442321863,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.02, 'e': 0.6187833918061408}",25,0,-51.11129084696593,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.02, 'e': 0.6065306597126334}",20,0,-20.943493423064197,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.02, 'e': 0.5945205479701944}",35,0,-154.45741170577645,"{0: 25, 1: 2, 2: 3, 3: 3, 4: 2}",0
28,False,"{'a': 0.02, 'e': 0.5827482523739896}",25,0,-73.75867114525633,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.02, 'e': 0.5712090638488149}",20,0,-30.99664627286191,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.02, 'e': 0.559898366565402}",35,9,-46.93094809880675,"{0: 20, 1: 0, 2: 4, 3: 2, 4: 0}",1
31,False,"{'a': 0.02, 'e': 0.5488116360940265}",25,4,-79.87208776216136,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 1}",1
32,False,"{'a': 0.02, 'e': 0.5379444375946745}",20,0,-70.81006627139102,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.02, 'e': 0.5272924240430485}",30,0,-65.5064486516727,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
34,False,"{'a': 0.02, 'e': 0.5168513344916992}",20,0,-53.025563048419436,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
35,False,"{'a': 0.02, 'e': 0.5066169923655895}",20,0,-34.45765781995136,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
36,False,"{'a': 0.02, 'e': 0.49658530379140947}",20,8,-0.6119498801633174,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
37,False,"{'a': 0.02, 'e': 0.4867522559599717}",20,0,-37.36091092486101,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.02, 'e': 0.4771139155210344}",20,0,-37.737284302557505,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.02, 'e': 0.46766642700990924}",25,0,-100.86194068083584,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
40,False,"{'a': 0.02, 'e': 0.4584060113052235}",20,0,-60.352779881082085,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
41,False,"{'a': 0.02, 'e': 0.44932896411722156}",25,9,13.619152623332061,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.02, 'e': 0.44043165450599925}",20,8,-18.20872907012089,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.02, 'e': 0.43171052342907973}",20,0,5.863611240243763,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.02, 'e': 0.4231620823177488}",20,8,-66.0765709031215,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
45,False,"{'a': 0.02, 'e': 0.4147829116815814}",25,0,-109.24028608786747,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
46,False,"{'a': 0.02, 'e': 0.4065696597405991}",25,0,20.016289099343243,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.02, 'e': 0.39851904108451414}",25,9,23.292069968492918,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.02, 'e': 0.3906278353585211}",20,8,16.160659606164355,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.02, 'e': 0.38289288597511206}",25,0,23.09164251344296,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.02, 'e': 0.37531109885139957}",20,0,-24.79632641494039,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.02, 'e': 0.36787944117144233}",20,9,-18.95121789634888,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.02, 'e': 0.3605949401730783}",20,0,-18.03136146935061,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.02, 'e': 0.35345468195878016}",35,8,-95.21889511041935,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 1}",1
54,False,"{'a': 0.02, 'e': 0.3464558103300574}",25,17,13.841433236312767,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.02, 'e': 0.3395955256449391}",20,0,12.538632611844207,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.02, 'e': 0.33287108369807955}",25,0,-37.7708613846548,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
57,False,"{'a': 0.02, 'e': 0.32627979462303947}",20,5,-37.329564856939385,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.02, 'e': 0.31981902181630384}",20,0,-65.74401998013724,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
59,False,"{'a': 0.02, 'e': 0.3134861808826053}",20,13,-0.9572575476229161,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.02, 'e': 0.30727873860113125}",30,10,31.43241940621476,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.02, 'e': 0.30119421191220214}",20,2,-24.579105942702594,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
62,False,"{'a': 0.02, 'e': 0.2952301669240142}",25,0,-74.11130145932734,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
63,False,"{'a': 0.02, 'e': 0.2893842179390506}",20,0,15.243215120355227,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.02, 'e': 0.2836540264997704}",20,0,22.742782656256257,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.02, 'e': 0.27803730045319414}",20,0,18.739327599789586,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.02, 'e': 0.2725317930340126}",20,0,19.13750360131282,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.02, 'e': 0.26713530196585034}",25,11,23.388178955401074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.02, 'e': 0.261845668580326}",30,13,-29.544287831933335,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.02, 'e': 0.2566607769535559}",25,0,17.61162799862438,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.02, 'e': 0.25157855305975646}",20,0,-7.105601429873878,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.02, 'e': 0.24659696394160643}",25,17,-8.33826508348066,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.02, 'e': 0.24171401689703645}",20,0,-20.578676400934366,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
73,False,"{'a': 0.02, 'e': 0.23692775868212176}",25,14,-6.45237754959234,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.02, 'e': 0.23223627472975883}",30,16,25.284427884284312,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.02, 'e': 0.22763768838381274}",25,0,-55.94781505629577,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
76,False,"{'a': 0.02, 'e': 0.22313016014842982}",20,9,-0.23241686123313166,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.02, 'e': 0.21871188695221475}",20,11,16.378422123988972,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.02, 'e': 0.21438110142697794}",25,20,10.537486529470376,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.02, 'e': 0.21013607120076472}",20,2,-39.209584624548945,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
80,False,"{'a': 0.02, 'e': 0.20597509820488344}",30,3,37.869466797008045,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.02, 'e': 0.20189651799465538}",20,12,14.460805985677593,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.02, 'e': 0.19789869908361465}",20,13,14.462689864341725,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.02, 'e': 0.19398004229089189}",20,8,6.465790907068896,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.02, 'e': 0.1901389801015205}",20,5,-14.438190940959212,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.02, 'e': 0.18637397603940997}",25,0,-27.74743978766745,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
86,False,"{'a': 0.02, 'e': 0.18268352405273466}",20,0,27.012753137156427,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.02, 'e': 0.17906614791149322}",20,4,-5.667744181863629,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.02, 'e': 0.17552040061699686}",25,15,9.434345205003122,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.02, 'e': 0.17204486382305054}",20,0,-7.447718871615553,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.02, 'e': 0.1686381472685955}",25,0,-3.7513437465842845,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.02, 'e': 0.16529888822158653}",25,0,24.495171403042953,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.02, 'e': 0.16202575093388075}",30,19,17.069225739074785,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.02, 'e': 0.15881742610692068}",25,2,24.038072469716973,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.02, 'e': 0.1556726303679973}",25,9,-15.432987392517612,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.02, 'e': 0.15259010575688386}",30,14,29.457601576084933,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.02, 'e': 0.14956861922263504}",30,6,23.920144066937834,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.02, 'e': 0.14660696213035015}",20,13,12.36835197577455,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.02, 'e': 0.14370394977770293}",25,0,-32.73814734530955,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
99,False,"{'a': 0.02, 'e': 0.140858420921045}",25,10,24.87009528608327,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.02, 'e': 0.13806923731089282}",20,0,12.39524898725967,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.02, 'e': 0.1353352832366127}",25,20,8.897191253540761,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.02, 'e': 0.13265546508012172}",25,0,20.91591349060736,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.02, 'e': 0.1300287108784259}",20,8,8.270893667903552,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.02, 'e': 0.12745396989482075}",35,15,24.40906683081002,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.02, 'e': 0.12493021219858241}",25,0,-25.452863758692352,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.02, 'e': 0.1224564282529819}",25,0,-26.10229197253786,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
107,False,"{'a': 0.02, 'e': 0.12003162851145673}",25,8,28.77791751412354,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.02, 'e': 0.11765484302177918}",30,4,28.798700605952988,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.02, 'e': 0.11532512103806251}",25,12,25.327080404859657,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.02, 'e': 0.11304153064044985}",30,0,24.951439728614915,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.02, 'e': 0.11080315836233387}",25,17,15.579520991598578,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.02, 'e': 0.10860910882495796}",20,3,29.008045976150253,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.02, 'e': 0.1064585043792528}",20,12,18.453990549890893,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.02, 'e': 0.104350484754765}",25,0,43.47147847176237,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.02, 'e': 0.10228420671553744}",20,0,18.178415045144202,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.02, 'e': 0.1002588437228037}",25,18,7.305029543299186,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.02, 'e': 0.09827358560436154}",25,8,24.361516978328932,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.02, 'e': 0.09632763823049303}",20,9,6.522698111523244,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.02, 'e': 0.09442022319630235}",25,0,29.925176148048237,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.02, 'e': 0.09255057751034329}",20,0,26.887733861823023,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.02, 'e': 0.09071795328941251}",20,0,-10.057356480345662,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
122,False,"{'a': 0.02, 'e': 0.08892161745938634}",30,13,1.7490787551293583,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.02, 'e': 0.0871608514619813}",20,6,23.98565451560832,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.02, 'e': 0.08543495096732123}",25,14,22.148496281045976,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.02, 'e': 0.08374322559219596}",20,0,28.905213200945983,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.02, 'e': 0.0820849986238988}",20,0,26.78484521958694,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.02, 'e': 0.08045960674953244}",25,10,19.73858144773044,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.02, 'e': 0.07886639979067495}",25,0,23.716556111083438,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.02, 'e': 0.07730474044329974}",20,9,18.258724158770715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.02, 'e': 0.07577400402284548}",20,12,19.739850385975412,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.02, 'e': 0.07427357821433388}",25,5,23.80604619556251,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.02, 'e': 0.07280286282743559}",20,6,21.967201887078318,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.02, 'e': 0.07136126955638605}",25,10,21.64717871412497,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.02, 'e': 0.06994822174465536}",20,0,24.151275795917485,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.02, 'e': 0.06856315415427791}",25,19,11.331944474558085,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.02, 'e': 0.06720551273974976}",25,9,3.8994357816528145,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.02, 'e': 0.06587475442640295}",20,0,-16.896429078257707,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.02, 'e': 0.06457034689316847}",25,0,39.40995555830834,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.02, 'e': 0.0632917683596407}",25,7,26.59337840762128,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.02, 'e': 0.06203850737735829}",30,17,22.182946653762713,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.02, 'e': 0.06081006262521795}",25,0,22.439395190799317,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.02, 'e': 0.05960594270893937}",30,17,15.755947201158643,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.02, 'e': 0.05842566596450083}",20,1,21.510064512211816,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.02, 'e': 0.05726876026546736}",25,14,18.750230994578445,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.02, 'e': 0.056134762834133725}",30,0,7.308584082495356,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
146,False,"{'a': 0.02, 'e': 0.05502322005640723}",20,9,19.45829689056166,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.02, 'e': 0.05393368730035602}",25,17,15.231025472742866,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.02, 'e': 0.05286572873835037}",20,7,-10.370284774138447,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.02, 'e': 0.05181891717272583}",30,10,30.752155178838947,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.02, 'e': 0.0507928338648985}",25,2,33.369526999848794,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.02, 'e': 0.049787068367863944}",20,10,15.486144034835855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.02, 'e': 0.04880121836201296}",20,9,21.1922738564826,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.02, 'e': 0.04783488949419837}",20,14,9.824657100035207,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.02, 'e': 0.046887695219988486}",25,15,7.909402540156002,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.02, 'e': 0.045959256649044204}",30,3,38.87415154634951,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.02, 'e': 0.0450492023935578}",25,7,8.184261411261613,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.02, 'e': 0.04415716841969286}",20,9,18.05638408073661,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.02, 'e': 0.043282797901965896}",20,0,9.72004102424673,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
159,False,"{'a': 0.02, 'e': 0.042425741080511385}",25,17,14.186750205031041,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.02, 'e': 0.04158565512117316}",30,0,28.927080781800317,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.02, 'e': 0.04076220397836621}",20,2,31.26161089429915,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.02, 'e': 0.039955058260653896}",30,16,25.555416534353117,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.02, 'e': 0.039163895098987066}",20,0,30.311447150397235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.02, 'e': 0.038388398017552054}",25,11,18.09396321644488,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.02, 'e': 0.0376282568071762}",25,11,16.16990532744141,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.02, 'e': 0.036883167401239994}",25,0,37.42716260699532,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.02, 'e': 0.03615283175404641}",20,11,12.40060678138716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.02, 'e': 0.03543695772159864}",20,2,29.24213627010142,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.02, 'e': 0.03473525894473856}",35,1,23.73527242328055,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.02, 'e': 0.034047454734599344}",25,8,15.087120613811894,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.02, 'e': 0.03337326996032608}",20,12,17.414365929975492,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.02, 'e': 0.03271243493901982}",20,0,23.113673535649966,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.02, 'e': 0.03206468532786077}",25,17,11.443023392884957,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.02, 'e': 0.03142976201836771}",25,0,24.419949694141398,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
175,False,"{'a': 0.02, 'e': 0.030807411032751076}",30,16,19.067950118491915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.02, 'e': 0.0301973834223185}",30,15,18.568465998340827,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.02, 'e': 0.029599435167892}",20,3,31.319253217516565,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.02, 'e': 0.029013327082197053}",30,0,31.541163203138776,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.02, 'e': 0.028438824714184505}",20,9,19.382611146555117,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.02, 'e': 0.027875698255247015}",20,16,8.359414448586627,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.02, 'e': 0.02732372244729256}",30,0,37.5482512483067,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.02, 'e': 0.026782676492638175}",20,14,-12.294437147633715,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.02, 'e': 0.02625234396568796}",20,13,14.241045952272302,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.02, 'e': 0.02573251272635994}",25,16,4.441197106907088,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
