trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",25,0,-145.039185551032,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.02, 'e': 0.9801986733067553}",20,0,-116.5235773287696,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.02, 'e': 0.9607894391523232}",25,0,-107.8870737474416,"{0: 12, 1: 8, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.02, 'e': 0.9417645335842487}",25,0,-163.5302646318251,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.02, 'e': 0.9231163463866358}",20,0,-85.50959651393651,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.02, 'e': 0.9048374180359595}",20,0,-182.71351541003764,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
7,False,"{'a': 0.02, 'e': 0.8869204367171575}",20,0,-47.94293706466267,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.02, 'e': 0.8693582353988059}",25,0,-246.38705413935497,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
9,False,"{'a': 0.02, 'e': 0.8521437889662113}",30,0,-101.22520692774202,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.02, 'e': 0.835270211411272}",20,0,-58.26232998267983,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.02, 'e': 0.8187307530779818}",20,4,-83.94501840096441,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.02, 'e': 0.8025187979624785}",30,0,-219.3920092878135,"{0: 19, 1: 2, 2: 3, 3: 2, 4: 4}",0
13,False,"{'a': 0.02, 'e': 0.7866278610665535}",20,0,-59.57457450928146,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.02, 'e': 0.7710515858035663}",20,0,-53.025738066010156,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.02, 'e': 0.7557837414557255}",25,9,-27.86905414977065,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.02, 'e': 0.7408182206817179}",25,0,-122.62019145321571,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.02, 'e': 0.7261490370736909}",25,0,-84.26468045270039,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.02, 'e': 0.7117703227626097}",35,9,-17.46661109749505,"{0: 21, 1: 3, 2: 1, 3: 1, 4: 0}",1
